question,A,B,C,D,correct
Które słowa obsługują frazeologicznie sytuację bez wyjścia?,stać i chrząkać,kulić się w kucki,leżeć i kwiczeć,bekać i beczeć,C
XVII-wieczna seria konfliktów między Ligą Katolicką a Unią Protestancką trwała:,10 lat,30 lat,50 lat,100 lat,B
"Kandydat na wysokie stanowisko często nie musi mieć odpowiednich kwalifikacji, o ile ma mocne:",łydki,kolana,plecy,ręce,C
W której z wypłat ukrył się brytyjski grosz?,w honorarium,w wynagrodzeniu,w poborach,w pensji,D
Sygnałówka to trąbka sygnalistów. Gdzie?,na wieży mariackiej,w myślistwie,w korporacjach,w polityce,B
Imperium Inków rozciągało się:,na północy Ameryki Północnej,na południu Ameryki Północnej,na wschód od Ameryki Południowej,na zachodzie Ameryki Południowej,D
"Witając się a la Jurek Owsiak, powiemy:",Hejka!,Cze!,Siema!,Eluwina!,C
"Bezpośrednio po której z wojen powstał UNICEF, żeby zapewnić żywotność i opiekę zdrowotną dla dzieci i matek?",po wojnie secesyjnej,po I wojnie światowej,po II wojnie światowej,po wojnie indochińskiej,C
Konduita to prowadzenie się:,sportowych Au,wszystkiego wszędzie i zawsze,prowadnic,"ludzi, zwłaszcza podejrzane",D
 W filmie „Jak zabić starszą panią” z 1955 r. pieniądze z napadu kwintetu smyczkowego na furgonetkę skrywa futerał na:,gęśle,fidel płocką,violę da gamba,wiolonczelę,D
Który z gruczołów wydziela sok trawienny?,trzustka,szyszynka,nadnercze,grasica,A
O czym jest piosenka „Prząśniczka” Czeczota i Moniuszki?,o przędzeniu wełny,o tkaniu tkaniny,o dzianiu dzianiny,o miłości i zdradzie,D
